"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"25501",2298,0,2298,60,60,66,300,273,334,224,220,148,277,186,150,0,0,0,0,0,0,0,0,0,0,0,0,1
"25502",56,0,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25503",90,0,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25504",246,0,246,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25505",18,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25506",78,0,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25507",294,0,294,0,0,0,0,0,0,0,0,0,121,86,87,0,0,0,0,0,0,0,0,0,0,0,0,3
"25508",92,0,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25509",45,0,45,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25510",50,0,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25511",44,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25512",102,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25513",96,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25514",274,0,274,0,0,0,0,0,0,0,0,0,72,0,202,0,0,0,0,0,0,0,0,0,0,0,0,3
"25515",324,0,324,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25516",406,0,406,0,0,0,0,0,86,0,0,0,100,108,112,0,0,0,0,0,0,0,0,0,0,0,0,3
"25517",114,0,114,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,3
"25518",714,0,714,0,0,0,0,0,0,0,0,0,174,246,294,0,0,0,0,0,0,0,0,0,0,0,0,3
"25519",67,0,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25521",96,0,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25523",28,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25524",778,0,778,0,0,0,0,0,0,0,0,0,319,459,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25525",147,0,147,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25526",86,0,86,0,0,0,0,0,0,0,0,0,28,0,58,0,0,0,0,0,0,0,0,0,0,0,0,3
"25527",97.5,0,97.5,0,0,0,0,0,0,0,0,0,56,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"25528",84,0,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"25529",88,0,88,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
