"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"8658",76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8659",270.17,0,270.17,0,27.67,90,24.5,24,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8660",27.67,0,27.67,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8661",92,0,92,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8662",184,0,184,0,0,0,0,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8663",1026.34,0,1026.34,238,98,0,37.34,80,138,0,140,0,80,0,215,0,0,0,0,0,0,0,0,0,0,0,0,3
"8664",18,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8665",27.33,0,27.33,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8666",122.5,0,122.5,0,0,40.75,46.75,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8667",171,0,171,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8668",36.75,0,36.75,0,36.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8670",48,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8671",76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8673",408.5,0,408.5,0,36.5,0,0,0,0,0,0,0,0,164,208,0,0,0,0,0,0,0,0,0,0,0,0,3
"8674",50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8675",60,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8676",315,0,315,0,0,0,35,0,0,26,76,74,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,3
"8677",813,0,813,70,60,88,0,170,0,0,88,92,90,0,155,0,0,0,0,0,0,0,0,0,0,0,0,3
"8678",196,0,196,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8679",254.67,0,254.67,0,74,30.67,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8680",348.4,0,348.4,250.4,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8681",110,0,110,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8682",331,0,331,0,0,0,0,0,0,0,63,0,0,86,182,0,0,0,0,0,0,0,0,0,0,0,0,3
"8683",96,0,96,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8684",172.5,0,172.5,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8685",76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8686",573.66,0,573.66,0,0,0,85.66,46,327,78,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8687",208,0,208,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8688",102,0,102,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8689",175.75,0,175.75,36.75,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8691",417,20,397,33,0,0,0,0,0,0,0,0,0,143,221,0,0,0,0,0,0,0,0,0,0,0,20,3
"8692",70,0,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8693",72,0,72,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8694",13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8695",151,0,151,71,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8696",726,0,726,0,0,0,40,0,0,150,135,153,128,0,120,0,0,0,0,0,0,0,0,0,0,0,0,3
"8697",266,0,266,0,0,66,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8698",437.29,0,437.29,0,235.29,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8699",76,0,76,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8700",24.5,0,24.5,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8701",50.8,0,50.8,0,0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8704",97.33,0,97.33,0,0,97.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8705",294.75,0,294.75,0,0,30.75,37,0,52,74,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8706",76,0,76,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8707",221,0,221,0,0,0,0,0,74,53,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8708",78,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8709",120,0,120,46,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8710",162,0,162,0,0,82,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8711",1754,0,1754,498,748,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8712",60,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8714",717,0,717,104,0,0,231,0,104,0,90,96,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8715",106.33,0,106.33,0,0,106.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8716",70,0,70,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8717",66,0,66,0,18,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8718",80,0,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8719",1182,162,1020,496,276,248,0,0,0,0,0,0,0,0,0,56,56,50,0,0,0,0,0,0,0,0,0,3
"8720",36.75,0,36.75,0,36.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8721",260,0,260,0,76,0,90,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8722",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,3
"8723",1408.5,0,1408.5,0,36.5,122,198,0,111,0,216,0,0,269,456,0,0,0,0,0,0,0,0,0,0,0,0,1
"8724",202,0,202,0,0,82,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8725",84,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8726",95,0,95,0,27.33,30.33,37.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8727",790,0,790,0,155,58,105,0,126,0,108,0,98,140,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8728",389,75,314,0,0,0,86,85,98,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,3
"8729",1211.58,0,1211.58,175.5,36.5,243,156.58,24,0,0,364,120,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8730",658,0,658,0,136,0,152,0,0,0,0,0,84,286,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8733",45.67,0,45.67,0,45.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8736",383,0,383,0,0,0,96,0,0,0,138,77,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8738",54,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8739",274,0,274,0,54,0,0,0,0,76,0,84,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8740",27.33,0,27.33,27.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8742",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
"8743",171.2,0,171.2,0,0,171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8744",415.34,0,415.34,0,140,0,109.34,82,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8746",170,0,170,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8747",76,0,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8748",124.84,0,124.84,0,63.5,61.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8750",288,0,288,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8751",206.47,0,206.47,43.5,0,0,0,0,29.97,0,99,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8752",616,0,616,0,0,138,78,0,196,0,100,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8753",248,0,248,24,40,18,0,23,41,36,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8754",317.75,0,317.75,36.75,0,0,80,0,0,0,42,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8755",20.5,0,20.5,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8756",248,0,248,0,0,0,144,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8757",2562.01,2200,362.01,0,0,167.01,35,0,86,37,37,0,0,0,0,0,0,100,500,0,500,100,0,0,500,500,0,2
"8760",170.01,0,170.01,54.67,54.67,60.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8761",22.67,0,22.67,0,0,22.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8763",193,0,193,0,0,0,0,0,0,0,0,0,0,70,123,0,0,0,0,0,0,0,0,0,0,0,0,3
"8765",179,0,179,0,0,0,0,0,0,26,63,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8766",1042,0,1042,60,60,66,117,0,0,79,53,45,72,294,196,0,0,0,0,0,0,0,0,0,0,0,0,3
"8768",996.67,800,196.67,196.67,0,0,0,0,0,0,0,0,0,0,0,250,300,0,250,0,0,0,0,0,0,0,0,3
"8769",592,0,592,0,0,148,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8770",72,0,72,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8771",328,0,328,0,0,0,40,0,0,0,0,0,0,110,178,0,0,0,0,0,0,0,0,0,0,0,0,3
"8772",74,0,74,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8773",297.33,0,297.33,160.33,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8774",52,0,52,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8775",50,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8777",487,0,487,58,0,150,0,0,92,0,0,0,0,82,105,0,0,0,0,0,0,0,0,0,0,0,0,3
"8779",140,0,140,0,64,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8783",18.5,0,18.5,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8784",30,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8785",446.75,0,446.75,0,36,40.75,168,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8786",396,0,396,0,0,0,72,0,0,50,70,0,0,94,110,0,0,0,0,0,0,0,0,0,0,0,0,3
"8787",124.67,0,124.67,54.67,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8789",423,0,423,0,0,60,63,0,0,156,0,0,0,60,84,0,0,0,0,0,0,0,0,0,0,0,0,3
"8790",27,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8792",296.33,0,296.33,0,0,100.33,0,0,68,0,84,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8793",559,0,559,0,0,0,0,122,210,0,33,37,34,70,53,0,0,0,0,0,0,0,0,0,0,0,0,3
"8794",214,0,214,0,0,36,96,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8795",661.4,0,661.4,0,0,188.4,0,0,0,0,120,0,0,257,96,0,0,0,0,0,0,0,0,0,0,0,0,3
"8796",2628,0,2628,126,256,352,304,0,244,70,318,98,320,264,276,0,0,0,0,0,0,0,0,0,0,0,0,1
"8797",100,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8799",42,0,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8800",207.33,0,207.33,27.33,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8801",165,0,165,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8802",704,0,704,0,70,0,0,0,261,0,93,92,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8803",37.5,0,37.5,0,0,0,0,0,0,0,0,0,0,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,3
"8804",124,0,124,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8806",222,0,222,0,0,88,0,0,0,0,0,0,74,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8807",172.67,0,172.67,0,0,32.67,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8808",127,0,127,0,0,0,90,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8809",226,0,226,0,64,0,0,0,0,0,0,0,73,89,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8810",58,0,58,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8811",451.83,0,451.83,222,79.83,114,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8812",335.5,0,335.5,44,110.5,0,0,0,0,52,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8813",370.33,0,370.33,0,0,0,106.33,58,0,116,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8814",35,0,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8816",371,0,371,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8817",1470,61,1409,0,0,0,0,0,168,363,364,0,514,0,0,0,0,0,0,0,0,0,31,0,30,0,0,1
"8818",1133,250,883,142.5,36.5,118,0,207,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,3
"8819",141.8,0,141.8,45.6,45.6,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8820",998.99,0,998.99,129.33,92,201.33,201.33,0,0,0,0,150,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8821",81,0,81,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8822",63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8824",126,0,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8826",87,0,87,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8828",221,0,221,0,0,117,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8829",96,0,96,24,0,0,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8830",1950,100,1850,58,25,69,35,256,151,144,89,289,324,158,252,0,0,0,0,0,0,0,0,0,0,0,100,1
"8831",667,0,667,163,0,88,168,0,0,36,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,3
"8833",202,0,202,62,0,0,0,0,0,48,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8834",442,0,442,140,0,0,0,0,0,158,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8835",406,0,406,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8836",227,0,227,0,0,0,27,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8837",478,0,478,0,64,0,150,0,0,122,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8838",99.75,0,99.75,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8839",270,0,270,0,0,0,0,129,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8843",330.5,0,330.5,0,36.5,20.5,48.5,0,0,0,85,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,3
"8844",256.33,0,256.33,54.33,0,66,66,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8845",87.67,0,87.67,0,0,0,35.67,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8846",980,0,980,45,36,40,72,24,150,141,138,0,35,53,246,0,0,0,0,0,0,0,0,0,0,0,0,3
"8847",525,0,525,210,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8848",95.67,0,95.67,0,0,95.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8849",114,0,114,78,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8850",1286.5,0,1286.5,0,0,0,216,139,96,128,128,138,148,164.5,129,0,0,0,0,0,0,0,0,0,0,0,0,1
"8852",209,0,209,64,0,0,0,59,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8853",312,0,312,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8854",236.67,0,236.67,0,0,236.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8855",190,0,190,0,0,0,0,0,50,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,3
"8856",706,0,706,184,96,0,140,0,76,0,0,0,0,170,40,0,0,0,0,0,0,0,0,0,0,0,0,3
"8857",208,0,208,0,0,0,0,84,40,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8858",113,0,113,0,23,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8859",93.33,0,93.33,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8860",80,0,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8861",496,0,496,140,150,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8862",222,0,222,0,0,83,119,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8863",154,0,154,0,18,66,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8864",186,0,186,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8865",359,0,359,0,0,0,0,0,150,0,36,28,28,117,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8866",894.33,0,894.33,0,0,91.33,84,72,0,178,0,98,74,120,177,0,0,0,0,0,0,0,0,0,0,0,0,3
"8867",44,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8868",5431,850,4581,235,364,218,392,332,270,300,84,527,573,738,548,0,0,0,100,125,125,0,0,0,0,250,250,1
"8869",34,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8870",73.5,0,73.5,0,36.5,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8871",74,0,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8872",40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8873",70,0,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8874",1501,0,1501,0,570,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8875",27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8877",270,0,270,0,0,72,0,0,0,78,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,3
"8878",231.5,0,231.5,0,0,0,50.5,24,27,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8880",735.5,0,735.5,27.5,0,0,138,59,74,183,226,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8882",298,0,298,0,0,65,0,0,0,122,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8884",342,0,342,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8885",171.67,0,171.67,0,0,171.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8886",122.33,0,122.33,0,0,30.33,0,0,36,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8888",294,0,294,0,0,90,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8889",37.67,0,37.67,0,0,0,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8892",427,0,427,174,0,0,128,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,3
"8893",918,0,918,0,444,88,74,136,98,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8894",83,0,83,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8895",446,0,446,84,0,0,76,80,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,3
"8896",178,0,178,0,0,30,0,0,56,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8897",152,0,152,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8898",246,0,246,0,148,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8899",138,0,138,0,0,0,0,0,60,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8900",18.5,0,18.5,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8901",654,0,654,0,0,0,140,69,0,0,74,100,188,0,83,0,0,0,0,0,0,0,0,0,0,0,0,3
"8902",220,0,220,0,60,0,72,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8903",242,0,242,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8904",620,0,620,0,54,0,0,0,0,0,76,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,3
"8905",420,0,420,110,0,220,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8906",76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8907",657.33,0,657.33,0,18.66,70.67,0,0,0,102,286,110,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,3
"8908",514.66,0,514.66,0,59.66,58,0,0,32,80,117,81,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8909",30.33,0,30.33,0,0,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8910",224.1,0,224.1,0,0,40,48.6,0,0,0,94,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8911",406,0,406,60,0,88,0,84,0,100,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8912",178,0,178,0,0,0,84,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8913",102,0,102,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8915",87.33,0,87.33,87.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8916",66,0,66,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8917",180,0,180,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8918",37,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8919",275.4,0,275.4,0,0,0,63.4,87,84,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8920",154,0,154,70,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8921",36.5,0,36.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8922",52,0,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
