"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.New.Donation","X2013.New.Donation","X2014.New.Donation","X2015.New.Donation","X2012.New.Ticket.Revenue","X2013.New.Ticket.Revenue","X2014.New.Ticket.Revenue","X2015.New.Ticket.Revenue","KmeansClustering_4.cluster"
"398",2464,581,1883,64,256,356,224,258,320,309,50,0,0,40,40,50,51,50,50,100,100,400,0,46,0,0,0,1
"401",1002,15,987,160,160,184,207,276,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3
"402",336,25,311,311,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"403",864,144,720,720,0,0,0,0,0,0,0,100,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3
"405",3932,180,3752,240,230,321,273,298,417,486,316,0,0,15,15,0,50,50,50,0,0,0,0,178,331,1232,1770,1
"406",1194,220,974,180,176,184,112,126,196,0,0,50,50,50,50,20,0,0,0,0,0,0,0,0,0,0,0,3
"408",3471.67,558,2913.67,207.67,196,246,246,268,272,284,256,0,16,30,22,20,50,50,50,100,120,400,0,320,310,1232,0,1
"409",2861,60,2801,0,0,262,287,304,312,458,508,0,0,0,15,20,0,25,0,0,0,0,0,184,210,360,930,1
"410",1659,30,1629,110,110,120,138,138,114,152,180,0,0,0,10,20,0,0,0,0,0,0,0,177,117,528,705,3
"411",2517,150,2367,52,256,370,443,166,170,174,174,0,0,15,25,35,25,0,25,25,0,0,0,178,98,376,960,1
"412",2695.33,15,2680.33,80,0,193.33,207,249,246,402,340,0,0,0,15,0,0,0,0,0,0,0,0,0,351,1428,1275,1
"416",5011.83,235,4776.83,0,187.33,271.5,299,252,270,298,320,0,0,0,0,20,25,25,50,25,30,120,150,1542,325,1560,3110,2
"417",291,9,282,88,128,0,66,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"418",3975,940,3035,180,180,199,207,228,262,271,312,0,0,15,15,120,125,125,125,125,130,520,150,370,322,984,1290,1
"420",2803,25,2778,107,160,0,301,312,252,264,320,0,0,0,25,0,0,0,0,0,0,0,0,270,252,1056,1380,1
"421",424,10,414,74,0,0,126,0,214,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"422",240,100,140,0,0,140,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"423",772,8,764,120,0,0,296,288,0,0,60,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3
"425",735,100,635,268,367,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"426",329.4,75,254.4,0,0,158.4,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,96,0,0,3
"427",298,26,272,171,0,0,0,37,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,3
"428",372,9,363,264,99,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"429",1425,85,1340,265,0,0,303,353,369,50,0,25,0,0,15,20,25,0,0,0,0,0,0,0,0,0,0,3
"430",1124,121,1003,366,306,331,0,0,0,0,0,56,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"431",473,75,398,119,210,0,69,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"432",1848,80,1768,240,256,295,303,0,328,258,0,0,0,15,15,0,25,25,0,0,0,0,0,0,0,0,440,3
"433",322,6,316,76,74,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,60,0,424,0,3
"434",76,10,66,66,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"436",2601,20,2581,0,196,236,244,287,260,296,352,0,0,10,10,0,0,0,0,0,0,0,0,335,0,1500,0,1
"437",1125,30,1095,194,214,62,34,0,0,43,0,0,20,10,0,0,0,0,0,0,0,0,0,43,167,664,860,3
"438",274,25,249,249,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"439",3190.5,57,3133.5,0,295,281,0,267,227,348,389,0,0,25,0,30,2,0,0,0,0,0,0,232,416,1510,1505,1
"441",5023.4,144,4879.4,290,260,207.4,496,665,414,501,466,0,0,0,15,20,25,25,4,25,0,120,0,344,340,1768,2270,2
"442",5030,422,4608,221,246,271,279,292,456,474,474,21,26,15,15,70,95,100,25,25,30,0,0,555,628,2848,0,2
"443",1359,35,1324,208,208,247,277,300,0,0,0,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,420,3
"444",1819,60,1759,28,0,256,279,292,304,316,284,0,0,0,15,20,0,0,25,0,0,0,0,0,0,0,0,3
"445",3090,280,2810,56,0,432,244,258,272,298,340,0,0,0,20,100,25,50,25,30,30,0,0,276,222,1256,490,1
"446",142,26,116,0,0,0,0,20,96,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,3
"447",1588,15,1573,210,210,290,361,0,502,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3
"448",2275,14,2261,70,0,290,344,393,266,258,258,0,0,0,14,0,0,0,0,0,0,0,0,156,226,0,0,3
"449",1758,415,1343,220,240,287,280,316,0,0,0,100,100,15,100,100,0,0,0,0,0,0,0,0,0,0,0,3
"450",667,10,657,0,0,0,253,0,0,70,168,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,830,3
"451",1562,40,1522,182,234,305,0,394,407,0,0,0,0,15,25,0,0,0,0,0,0,0,0,0,0,0,0,3
"452",467,50,417,0,0,75,80,0,28,0,25,0,0,0,0,50,0,0,0,0,0,0,0,134,50,100,0,3
"453",380.33,100,280.33,0,151.33,0,0,0,129,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"454",3664,512,3152,240,256,296,316,316,328,340,396,0,0,16,28,100,67,100,0,126,75,0,0,344,320,0,0,1
"455",3396.34,370,3026.34,0,0,0,335.34,333,422,396,308,0,0,0,25,20,50,50,50,50,50,300,0,344,252,1440,1380,1
"457",3062,150,2912,323,273,309,317,301,312,328,384,15,15,15,15,20,0,20,25,25,0,0,0,365,0,0,0,1
"458",4155,875,3280,198,368,494,217,86,387,341,508,0,0,0,100,100,25,150,0,500,0,0,0,261,420,0,0,1
"460",1352,130,1222,0,208,247,481,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,500,0,0,0,1430,3
"461",3990.4,90,3900.4,146,148,280,303,316,328,304,334,0,0,0,15,20,0,25,0,0,0,120,0,402,370,2128,2187,2
"463",876.66,215,661.66,173.33,142.33,346,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1000,0,0,0,0,3
"464",208,156,52,52,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"465",5248.33,855,4393.33,523,420,488.33,501,474,296,340,340,100,100,50,100,50,100,125,50,50,30,200,250,154,229,1232,1600,2
"466",2783,150,2633,358,280,276,303,330,354,366,366,30,70,0,15,10,25,0,0,0,0,0,0,0,0,0,0,1
"467",626,12,614,0,0,0,614,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3
"469",1082,52,1030,0,0,0,398,632,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,3
"472",548,65,483,0,0,0,68,211,75,129,0,0,0,0,0,20,25,0,20,0,0,0,0,0,0,0,0,3
"473",970,500,470,0,0,0,86,86,215,37,0,0,50,50,0,0,0,0,100,100,100,400,0,0,46,0,0,3
"474",1788,50,1738,247.4,0,0,220.6,171,138,188,147,0,25,0,25,0,0,0,0,0,0,0,0,98,94,776,1200,1
"475",260,52,208,70,0,0,0,0,138,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"476",922.75,300,622.75,117.75,62,260,0,34,0,10,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,556,0,3
"477",1092.07,150,942.07,482.4,129,280.67,0,0,0,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"478",992,6,986,200,240,256,210,0,80,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3
"479",136,100,36,0,0,0,36,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,3
"480",369,300,69,0,69,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"481",1226,10,1216,98,0,66,224,244,84,0,72,10,0,0,0,0,0,0,0,0,0,0,0,326,0,408,0,3
"482",670,600,70,0,0,0,0,0,0,0,0,0,50,50,50,0,50,100,0,100,0,400,500,70,0,0,0,3
"483",625,50,575,0,0,84,280,211,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3
"485",5068,205,4863,208,312,363,412,450,312,328,484,0,0,15,15,20,0,25,25,15,30,120,150,490,544,1904,2420,2
"487",3341,210,3131,190,275,336,271,276,288,304,252,10,25,0,15,55,25,25,0,25,30,0,0,313,310,856,510,1
"490",2228,315,1913,434,384,505,494,0,0,0,96,50,50,90,50,0,0,0,0,0,0,0,375,0,0,0,0,1
"491",1293,500,793,0,0,0,316,0,0,0,0,50,50,50,50,50,50,50,50,0,50,200,0,0,0,568,1675,1
"492",5134,519,4615,208,210,290,358,602,477,610,698,0,0,0,12,20,18,25,50,100,75,392,605,320,240,1112,1620,2
"493",492,200,292,0,0,0,0,86,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,384,550,3
"495",195,125,70,18,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,52,0,0,3
"496",4514,140,4374,0,244,218,481,356,276,372,382,0,0,0,15,20,0,0,0,75,30,0,0,376,352,2916,2940,2
"497",4101,950,3151,432,0,736,576,632,656,119,0,50,50,100,100,100,100,100,100,100,0,200,500,0,0,0,0,1
"498",898,700,198,0,0,0,0,0,0,0,0,100,0,100,100,100,100,0,100,100,0,0,0,0,0,792,0,3
"504",4389,60,4329,176,217,396,239,286,80,0,0,0,0,0,15,20,0,0,0,25,0,0,0,354,0,4208,7645,2
"505",209,10,199,0,199,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"506",1315,15,1300,0,64,221,207,0,120,96,186,0,0,0,15,0,0,0,0,0,0,0,0,0,190,0,1080,3
"508",2726.5,1780,946.5,0,100,0,0,0,280,0,325,0,30,50,100,0,100,0,0,0,0,0,7500,0,102,376,227.5,2
"510",3021,750,2271,210,0,510,266,288,322,316,359,50,50,50,75,75,100,350,0,0,0,0,0,0,0,0,0,1
"511",3203,300,2903,228,233,201,207,228,246,258,258,40,25,15,15,20,25,25,25,20,30,120,150,252,252,1056,1380,1
"512",1377,391,986,46,80,174,216,150,156,164,0,0,100,75,80,86,25,25,0,0,0,0,0,0,0,0,0,3
"513",72,10,62,23,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,195,3
"514",1089.65,50,1039.65,173.33,82.33,200.66,223.33,123,237,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"515",428,50,378,378,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"516",1631.5,500,1131.5,0,125,30,120,261,122.5,259,214,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,3
"518",1790,6,1784,64,120,192,60,0,140,186,174,0,0,6,0,0,0,0,0,0,0,0,0,178,270,1128,590,1
"519",2838.4,476,2362.4,496,570.4,525,540,0,184,0,0,50,50,50,50,0,51,50,50,50,75,0,0,0,0,0,235,1
"520",304,32,272,96,176,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"521",1344,135,1209,0,0,0,0,258,222,207,258,0,0,0,0,0,35,100,0,0,0,0,0,264,0,0,0,3
"523",1014.75,750,264.75,116.75,148,0,0,0,0,0,0,100,200,200,250,0,0,0,0,0,0,0,0,0,0,0,0,3
"526",1259,1200,59,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,400,500,0,0,0,295,3
"527",112.5,45,67.5,0,0,44,0,0,0,23.5,0,0,0,0,25,0,0,0,0,20,0,0,0,0,0,0,0,3
"529",144,26,118,96,0,22,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"532",2262,935,1327,220,320,255,256,276,0,0,0,250,100,265,300,20,0,0,0,0,0,0,0,0,0,0,0,1
"533",2376,500,1876,195,158,153,163,175,230,193,170,50,50,25,100,50,0,50,0,75,50,200,0,160,136,572,0,1
"538",82,6,76,76,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"539",1864,70,1794,171,158,287,76,0,252,90,0,35,0,15,0,0,20,0,0,0,0,0,0,190,232,656,870,1
"540",808,500,308,104,111,0,0,0,46,47,0,25,25,25,25,50,50,50,50,50,50,200,250,0,0,0,0,3
"541",3186.5,325,2861.5,64,256,486,407,138,273,174,215,25,50,25,25,25,25,25,25,25,25,100,125,228,120,1012,1237.5,1
"542",395,30,365,195,170,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"543",1822,50,1772,180,176,212,211,232,292,0,145,50,0,0,0,0,0,0,0,0,0,0,0,90,234,0,0,3
"544",3233,800,2433,0,0,0,186,375,392,378,290,0,0,0,0,100,100,100,100,100,100,400,500,0,402,196,1805,1
"545",2841,1183,1658,104,104,147,151,138,149,152,180,100,100,100,108,125,125,125,125,125,150,0,0,175,170,752,0,1
"548",260,200,60,60,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"550",894,506,388,70,70,76,86,86,0,0,0,100,100,100,100,106,0,0,0,0,0,0,0,0,0,0,0,3
"551",2461.33,860,1601.33,230,180,287.33,264,292,348,0,0,50,250,15,500,20,25,0,0,0,0,0,0,0,0,0,0,1
"554",1512.5,70,1442.5,0,201,199,230,252,272,288.5,0,0,0,15,10,20,0,25,0,0,0,0,0,0,0,0,0,3
"555",1248,750,498,0,0,0,210,42,98,0,0,0,0,0,500,250,0,0,0,0,0,0,0,0,0,0,740,3
"556",223.33,25,198.33,0,0,0,198.33,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"557",2455.67,900,1555.67,155,176,20,270.67,91,150,52,81,50,50,100,100,100,100,100,100,0,0,400,500,0,0,736,1880,1
"558",1041,200,841,0,108,190,74,72,86,188,25,0,200,0,0,0,0,0,0,0,0,0,0,98,0,0,0,3
"560",4337,935,3402,208,208,247,396,300,312,316,305,0,0,15,156,150,100,79,75,85,75,400,500,210,272,1232,1600,2
"561",218,50,168,0,0,0,168,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3
"562",3509.86,490,3019.86,264.57,252.5,271.5,226.29,117,292,290,190,50,50,15,0,0,25,25,25,50,50,400,500,232,216,1064,2010,1
"566",1048,930,118,64,0,54,0,0,0,0,0,50,75,50,75,80,100,100,100,100,100,400,0,0,0,0,0,3
"569",2217,825,1392,300,340,372,380,0,0,0,0,80,100,100,100,120,125,0,0,200,0,0,0,0,0,0,0,1
"570",513.5,400,113.5,10,0,30,0,0,0,0,0,0,100,100,100,0,0,100,0,0,0,0,0,73.5,0,7.12e-15,0,3
"579",2537,10,2527,410,462,530,537,588,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"582",4817.66,700,4117.66,292,390,435.66,392,576,574,366,314,0,50,50,100,100,100,100,200,0,0,0,0,98,378,800,510,2
"587",1356.5,150,1206.5,58,0,191.5,54,154,102,0,96,0,0,0,0,0,0,0,0,0,0,600,0,0,202,0,1745,3
"591",831,225,606,386,220,0,0,0,0,0,0,50,50,0,50,0,0,50,0,25,0,0,0,0,0,0,0,3
"592",747,50,697,519,0,0,96,82,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"606",3954,1400,2554,174,412,192,134,134,336,146,228,200,200,100,200,200,200,100,0,0,0,0,1000,84,172,792,1720,2
"611",3739,300,3439,0,0,12,76,438,587,340,396,0,0,50,50,75,0,50,50,25,0,0,0,380,450,1504,1920,1
"622",3799,1156,2643,62,496,361,402,330,304,316,372,0,156,300,100,200,250,150,0,0,0,0,0,0,0,0,0,1
"626",786,200,586,208,208,20,50,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,100,0,0,3
"636",3278,207,3071,251,266,291,311,330,354,387,534,51,26,15,23,26,21,25,11,0,9,0,0,161,186,0,0,1
"639",4648.5,1100,3548.5,220,238.5,240,256,287,288,300,304,50,50,0,100,100,100,125,125,150,150,600,0,374,296,1328,2065,2
"646",377,25,352,0,265,87,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"651",5352,650,4702,334,406,331,314,316,339,385,486,150,150,15,125,125,0,25,0,0,30,120,0,400,417,1924,2465,2
"662",1429.33,450,979.33,0,60,78,180.33,153,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,90,142,328,970,1
"663",874.16,150,724.16,62,55.66,113,96.5,180,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,868,0,3
"667",1206,165,1041,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,86,2840,180,1
"668",659.25,250,409.25,36.75,18.5,20.5,24.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,285,0,0,3
"677",480,345,135,0,63,72,0,0,0,0,0,75,75,75,120,0,0,0,0,0,0,0,0,0,0,0,0,3
"678",2811.5,470,2341.5,240,330,280,288,316,328,514,0,0,0,0,0,20,125,25,100,0,100,0,500,0,0,182,0,1
"704",4209,65,4144,264,232,280,355,649,791,140,388,0,0,0,15,0,50,0,0,0,0,0,0,320,234,1204,950,1
"705",4650.6,1550,3100.6,160,217,262,282,261,236,269,244,50,100,100,100,100,100,100,100,200,200,800,1000,248,276,1384,1498,2
"707",405,3,402,0,0,0,0,0,92,0,102,0,0,0,0,0,3,0,0,0,0,0,0,0,208,0,0,3
"718",393,10,383,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,10,0,0,0,208,0,384,0,3
"723",3903.34,48,3855.34,182.33,329.34,265.33,227.34,252,294,279,429,17,30,0,1,0,0,0,0,0,0,0,0,420,421,1512,1890,1
"739",5409,900,4509,504,0,817,789,824,164,289,284,0,0,100,100,100,100,100,100,100,0,400,500,308,284,984,0,2
"755",1464,30,1434,0,0,0,338,156,164,132,0,0,0,0,0,0,0,0,0,0,0,0,150,0,170,720,1470,1
"758",4970,2700,2270,0,0,66,240,169,385,0,249,50,0,0,50,0,0,50,50,0,0,0,12500,480,431,0,1250,2
"767",3074,1248,1826,278,251,0,444,425,90,244,0,250,250,249,249,0,0,250,0,0,0,0,0,0,0,0,470,1
"771",745,585,160,0,160,0,0,0,0,0,0,50,50,110,50,0,0,0,200,50,0,0,375,0,0,0,0,3
"773",3385,5,3380,0,0,0,304,363,315,368,424,0,0,0,0,0,5,0,0,0,0,0,0,380,370,2048,1720,1
"793",2262,595,1667,0,0,0,0,240,288,271,79,0,0,0,0,0,0,100,145,100,50,400,500,12,234,984,1485,1
"809",2897,1560,1337,140,256,280,303,282,0,76,0,300,300,100,115,145,250,250,100,0,0,0,0,0,0,0,0,1
"814",5709.5,3850,1859.5,0,0,0,0,0,167,96,295,0,0,0,0,0,0,0,0,50,250,14200,0,361,392,1872,402.5,2
"819",4497.16,855,3642.16,244,323,335,416.16,326,370,364,348,100,100,125,100,100,100,100,100,0,0,0,150,308,170,752,1250,2
"823",4279,579,3700,360,180,432,224,240,304,316,284,54,50,0,50,100,0,50,50,75,50,200,250,350,310,1384,1770,2
"828",209,1,208,0,74,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,3
"832",3437.85,1500,1937.85,0,197.85,0,0,0,554,426,0,0,0,0,0,0,0,0,0,0,0,0,7500,284,201,500,750,2
"847",3246,95,3151,208,0,258,231,252,210,316,352,0,0,0,15,0,0,20,50,0,10,0,0,356,340,1232,1600,1
"849",514,350,164,0,0,0,0,0,164,0,0,0,0,0,0,0,0,100,0,0,0,1000,0,0,0,0,0,3
"852",1645.33,1000,645.33,182,119.33,224,50,0,70,0,0,25,200,0,250,300,150,75,0,0,0,0,0,0,0,0,0,3
"856",3068.33,2185,883.33,126,0,90.33,132,82,200,0,253,50,100,125,150,300,300,250,150,160,250,1000,500,0,0,0,0,1
"866",3226,1201,2025,324,256,72,72,82,74,165,132,100,100,100,100,100,101,100,100,100,100,400,500,284,0,800,1820,1
"887",2267,15,2252,384,256,204,152,168,180,186,186,0,0,0,0,0,0,15,0,0,0,0,0,192,168,0,880,1
"896",679,125,554,118,256,0,0,0,0,0,94,0,0,0,0,0,0,0,0,25,0,200,250,86,0,0,0,3
"899",2618,650,1968,62,0,332,80,76,0,0,304,200,100,0,0,0,0,0,0,0,250,400,0,86,340,1304,1810,1
"903",2978,420,2558,180,180,231,239,326,338,354,360,50,50,65,65,65,50,25,25,25,0,0,0,350,0,0,0,1
"924",2688,5,2683,240,346,469,338,460,0,0,340,0,0,0,0,0,0,0,0,5,0,0,0,490,0,0,0,1
"946",431,200,231,0,0,0,0,0,90,0,0,0,0,0,0,0,200,0,0,0,0,0,0,49,0,0,460,3
"950",696,150,546,46,54,60,54,58,74,132,0,0,25,25,0,0,0,0,0,0,100,0,0,0,68,0,0,3
"971",4572,1365,3207,208,177,184,207,270,305,244,300,0,100,0,15,125,150,150,300,200,100,400,625,300,280,1496,1790,2
"975",658.2,50,608.2,0,0,0,431.2,0,0,177,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,3
"985",608,25,583,152,35,38,36,0,0,82,96,0,0,0,0,0,25,0,0,0,0,0,0,144,0,0,0,3
"986",1161,45,1116,180,48,184,224,276,40,0,164,0,0,25,0,20,0,0,0,0,0,0,0,0,0,0,0,3
"1001",595,550,45,0,0,0,0,0,15,0,30,50,50,50,50,0,50,50,50,75,50,0,375,0,0,0,0,3
"1008",1049,25,1024,0,0,0,0,0,95,372,180,0,0,0,0,0,0,0,0,0,0,0,125,0,80,0,1485,3
"1015",2273,100,2173,250,230,432,429,456,0,376,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1030",6117.67,3900,2217.67,496,510.67,390,318,246,210,0,0,750,1050,1050,1050,0,0,0,0,0,0,0,0,0,0,0,235,2
"1051",4190,955,3235,246,208,247,240,276,350,308,308,100,100,115,150,170,25,25,37,67,61,196,280,228,234,984,1720,2
"1052",2335.6,30,2305.6,104,180,198,150,276,192,354,364,0,0,0,0,0,0,0,0,0,0,0,150,0,92,360,1528,1
"1055",1324,30,1294,0,70,0,72,0,135,0,163,0,0,0,0,0,0,0,0,0,30,0,0,280,316,0,1290,3
"1059",2070.98,150,1920.98,166.66,112.33,211.33,446.66,204,270,0,99,0,0,0,50,0,0,0,0,0,100,0,0,0,135,1104,0,1
"1060",1972,186.5,1785.5,165.5,170,200,202,146,240,248,254,1.5,0,0,0,10,50,75,25,25,0,0,0,160,0,0,0,3
"1079",640,200,440,0,0,0,0,64,100,0,0,0,0,0,0,0,200,0,0,0,0,0,0,276,0,0,0,3
"1099",1256,700,556,0,28,68,220,40,0,100,0,300,200,100,0,0,0,0,0,0,100,0,0,0,0,0,500,3
"1121",3667.33,3600,67.33,67.33,0,0,0,0,0,0,0,500,500,600,500,500,500,500,0,0,0,0,0,0,0,0,0,1
"1136",4121,2,4119,220,240,272,280,366,311,393,464,0,0,0,0,0,0,2,0,0,0,0,0,380,352,1384,2475,2
"1151",3065,250,2815,715,440,548,528,584,0,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,1
"1162",1979.5,300,1679.5,205,205,241,249,136,106,142,146,25,50,50,50,25,25,25,25,25,0,0,0,143.5,0,0,530,3
"1189",547,10,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,252,132,612,0,3
"1218",3544,2850,694,0,0,0,0,0,336,0,0,0,0,0,0,0,1500,0,0,0,0,5400,0,0,0,424,1260,2
"1224",3101,125,2976,0,180,0,224,240,304,316,314,0,0,0,0,20,0,25,25,25,0,120,0,350,310,1536,1770,1
"1235",2604,1850,754,0,0,0,136,0,0,0,206,0,100,250,250,250,250,250,250,250,0,0,0,0,204,832,0,1
"1243",3607.6,235,3372.6,0,0,562,228,0,0,400,442,0,200,0,0,0,0,0,0,35,0,0,0,378,250,1240,4013,2
"1255",979,20,959,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,335,1312,960,3
"1256",3879,25,3854,205,210,290,455,356,364,376,256,0,0,0,0,0,0,25,0,0,0,0,0,326,316,1384,1770,1
"1277",3192,2,3190,220,238,286,264,292,304,316,316,0,0,0,0,0,0,0,0,0,2,0,0,320,272,712,920,1
"1283",489,100,389,0,0,76,229,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,336,0,3
"1290",3111.33,750,2361.33,112,256.33,248,228,86,403,140,292,0,200,0,100,0,100,100,0,100,0,400,250,49,359,384,460,1
"1337",1328,130,1198,0,0,0,0,0,196,180,194,0,0,0,0,0,0,25,25,20,0,240,0,208,0,1680,0,3
"1351",1403.67,50,1353.67,258,0,113.67,0,99,87,171,129,0,0,0,0,50,0,0,0,0,0,0,0,159,131,428,495,3
"1358",4077,25,4052,400,440,454,264,342,304,316,316,0,0,0,0,0,0,0,0,0,0,100,0,320,320,1128,1470,1
"1362",3315,400,2915,62,0,60,111,160,234,316,348,0,0,0,0,0,50,50,50,50,100,200,250,370,434,1624,2070,1
"1372",2397.33,200,2197.33,720,0,937.33,540,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1373",390,300,90,30,0,60,0,0,0,0,0,100,0,0,0,100,50,50,0,0,0,0,0,0,0,0,0,3
"1384",2605,475,2130,384,196,356,246,258,280,410,0,100,20,100,122,48,50,35,0,0,0,0,0,0,0,0,0,1
"1418",4346,200,4146,329,256,327,1312,332,0,188,367,0,200,0,0,0,0,0,0,0,0,0,0,196,338,828,1470,1
"1447",3257.8,575,2682.8,73,196,144,174,203,374,264,296,25,25,50,50,50,50,50,50,50,50,300,250,240,234,1447.2,615,1
"1449",1186,50,1136,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,49,166,1680,1860,1
"1450",403,50,353,0,0,0,0,40,40,0,117,0,0,0,0,0,0,50,0,0,0,0,0,156,0,0,0,3
"1476",824,200,624,70,0,0,0,88,84,0,90,0,0,0,0,0,0,0,0,0,100,0,500,98,0,368,510,3
"1501",1916,30,1886,0,0,0,0,0,252,264,264,0,0,0,0,0,0,0,0,0,30,0,0,162,336,1328,1380,1
"1505",628,4,624,64,0,60,80,84,86,90,90,0,0,0,0,0,4,0,0,0,0,0,0,0,0,280,0,3
"1509",633,7,626,58,0,78,117,110,263,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3
"1537",1649,125,1524,0,0,0,288,0,328,340,340,0,0,0,0,0,0,100,25,0,0,0,0,0,0,0,1140,3
"1589",372,150,222,192,0,30,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,3
"1623",1568,30,1538,0,117,143,336,189,45,0,66,0,0,0,0,0,0,0,0,0,0,0,150,92,186,184,1590,1
