"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.New.Donation","X2013.New.Donation","X2014.New.Donation","X2015.New.Donation","X2012.New.Ticket.Revenue","X2013.New.Ticket.Revenue","X2014.New.Ticket.Revenue","X2015.New.Ticket.Revenue","KmeansClustering_4.cluster"
"111",1648,1550,98,0,0,23,0,0,0,50,25,250,250,500,0,0,0,0,0,250,300,0,0,0,0,0,0,3
"113",117,25,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,32,240,0,3
"125",752,100,652,326,0,80,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,108,240,240,3
"136",173,33,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,140,0,0,0,3
"143",1215.5,50,1165.5,120,114,204,72,59,130,93,22,50,0,0,0,0,0,0,0,0,0,0,0,72,68,166,850,3
"145",530,200,330,0,0,0,11,0,86,0,35,0,0,0,0,0,0,0,0,0,200,0,0,24,0,696,0,3
"147",839,500,339,76,70,0,72,0,0,39,0,50,50,50,50,50,0,25,25,50,50,200,250,34,0,0,240,3
"152",930,275,655,18,18.5,0,0,128,74,33,118,0,0,0,0,0,0,0,0,50,75,300,375,48,64,282,415,3
"155",438,400,38,0,0,0,0,38,0,0,0,130,130,140,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"180",3154,900,2254,171,54,148,224,164,92,188,258,0,50,50,100,100,0,100,100,150,100,600,0,338,193,664,1290,1
"181",3940.5,1625,2315.5,200,226,227,168,256,98,0,145,50,250,100,100,125,150,150,150,200,0,600,1000,348,176,1000,1107.5,2
"185",3169,1550,1619,66,126,117,77,175,0,88,84,50,50,0,100,0,100,250,350,200,250,400,500,200,272,240,1770,1
"186",314,90,224,0,0,0,0,132,92,0,0,50,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,3
