Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
1091,1440,0,1440,684,342,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,220,0,220,0,9,111,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,30,0,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,3691.06,0,3691.06,140.4,59,195.33,404.33,335,494,350,315,144,490,424,340,0,0,0,0,0,0,0,0,0,0,0,0
1117,5714,2550,3164,240,478,280,288,316,189,170,258,295,215,188,247,100,100,150,200,250,250,250,250,250,250,250,250
1118,580,75,505,52,63,0,22,0,154,36,0,74,0,0,104,0,0,0,0,0,0,0,0,25,25,0,25
1121,428,0,428,0,0,0,24,0,0,0,300,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,1762,950,812,18,35,0,72,0,0,0,342,345,0,0,0,0,50,75,75,75,75,100,100,100,100,100,100
1133,407.5,50,357.5,0,18,10,0,43,0,0,0,36,110,37.5,103,0,0,0,0,0,0,0,0,0,0,0,50
1134,1317,0,1317,0,32,0,50,0,700,0,81,0,134,100,220,0,0,0,0,0,0,0,0,0,0,0,0
1135,3360,70,3290,216,256,222,288,316,98,264,320,261,243,366,440,0,0,0,0,0,0,0,0,0,20,20,30
1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,1648,1550,98,0,0,23,0,0,0,50,25,0,0,0,0,250,250,500,0,0,0,0,0,250,300,0,0
1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,117,25,92,0,0,0,0,0,0,0,0,0,32,60,0,0,0,0,0,0,0,0,0,0,0,25,0
1149,100,0,100,0,70,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,235.11,0,235.11,54.67,0,0,180.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,298,0,298,0,0,0,144,0,0,100,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,39,0,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,162,0,162,0,0,0,0,0,0,0,0,40,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0
1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
